park_code,park_name,wiki_url,nps_url,area_acres,lat,lon
MOJA,Mojave National Preserve,https://en.wikipedia.org/wiki/Mojave_National_Preserve,https://www.nps.gov/MOJA/index.htm,1542776.0,34.883,-115.717
MONO,Monocacy National Battlefield,https://en.wikipedia.org/wiki/Monocacy_National_Battlefield,https://www.nps.gov/MONO/index.htm,1647.0,39.37115,-77.39208
MORA,Mount Rainier National Park,https://en.wikipedia.org/wiki/Mount_Rainier_National_Park,https://www.nps.gov/MORA/index.htm,236381.0,46.85,-121.75
MORR,Morristown National Historical Park,https://en.wikipedia.org/wiki/Morristown_National_Historical_Park,https://www.nps.gov/MORR/index.htm,1711.0,40.79639,-74.46667
MORU,Mount Rushmore National Memorial,https://en.wikipedia.org/wiki/Mount_Rushmore_National_Memorial,https://www.nps.gov/MORU/index.htm,1278.0,43.87889,-103.45972
MUWO,Muir Woods National Monument,https://en.wikipedia.org/wiki/Muir_Woods_National_Monument,https://www.nps.gov/MUWO/index.htm,554.0,37.89194,-122.57083
NABR,Natural Bridges National Monument,https://en.wikipedia.org/wiki/Natural_Bridges_National_Monument,https://www.nps.gov/NABR/index.htm,7636.0,37.6013829,-110.0137437
NATC,Natchez National Historical Park,https://en.wikipedia.org/wiki/Natchez_National_Historical_Park,https://www.nps.gov/NATC/index.htm,108.07,31.54333,-91.38306
NATR,Natchez Trace Parkway,https://en.wikipedia.org/wiki/Natchez_Trace_Parkway,https://www.nps.gov/NATR/index.htm,52302.0,,
NAVA,Navajo National Monument,https://en.wikipedia.org/wiki/Navajo_National_Monument,https://www.nps.gov/NAVA/index.htm,360.0,36.6783318,-110.540972
NCPC,National Mall and Memorial Parks,https://en.wikipedia.org/wiki/National_Mall_and_Memorial_Parks,https://www.nps.gov/NCPC/index.htm,6546.92,38.89,-77.02278
NCPE,National Capital Parks-East,https://en.wikipedia.org/wiki/National_Capital_Parks-East,https://www.nps.gov/NCPE/index.htm,6546.92,38.87833,-76.96917
NEBE,New Bedford Whaling National Historical Park,https://en.wikipedia.org/wiki/New_Bedford_Whaling_National_Historical_Park,https://www.nps.gov/NEBE/index.htm,34.0,41.63556,-70.92333
NEPE,Nez Perce National Historical Park,https://en.wikipedia.org/wiki/Nez_Perce_National_Historical_Park,https://www.nps.gov/NEPE/index.htm,4561.0,46.447,-116.823
NEPH,New Philadelphia National Historic Site,https://en.wikipedia.org/wiki/New_Philadelphia_National_Historic_Site,https://www.nps.gov/NEPH/index.htm,42.0,39.69583,-90.95972
NERI,New River Gorge National Park & Preserve,https://en.wikipedia.org/wiki/New_River_Gorge_National_Park_and_Preserve,https://www.nps.gov/NERI/index.htm,72808.0,37.96083,-81.08167
NICO,Nicodemus National Historic Site,https://en.wikipedia.org/wiki/Nicodemus_National_Historic_Site,https://www.nps.gov/NICO/index.htm,161.0,39.39083,-99.6175
NIOB,Niobrara National Scenic River,https://en.wikipedia.org/wiki/Niobrara_National_Scenic_River,https://www.nps.gov/NIOB/index.htm,23074.0,42.883,-100.317
NISI,Ninety Six National Historic Site,https://en.wikipedia.org/wiki/Ninety_Six_National_Historic_Site,https://www.nps.gov/NISI/index.htm,1022.0,34.14694,-82.02444
NOAT,Noatak National Preserve,https://en.wikipedia.org/wiki/Noatak_National_Preserve,https://www.nps.gov/NOAT/index.htm,6569904.0,68.0,-159.5
NOCA,North Cascades National Park,https://en.wikipedia.org/wiki/North_Cascades_National_Park,https://www.nps.gov/NOCA/index.htm,504654.0,48.83278,-121.3475
